2-12 loss=0.6004 dev_acc=0.8489 test_acc=0.7822 eps=135.08
2-13 loss=0.4965 dev_acc=0.8889 test_acc=0.8467 eps=133.29
2-14 loss=0.4479 dev_acc=0.8933 test_acc=0.8622 eps=134.69
2-15 loss=0.4385 dev_acc=0.9022 test_acc=0.8467 eps=133.48
2-16 loss=0.3649 dev_acc=0.8556 test_acc=0.8467 eps=133.46
2-17 loss=0.3368 dev_acc=0.9156 test_acc=0.8867 eps=132.13
2-18 loss=0.3073 dev_acc=0.9444 test_acc=0.9022 eps=133.94
2-19 loss=0.3055 dev_acc=0.9222 test_acc=0.8778 eps=133.96
2-20 loss=0.2436 dev_acc=0.8000 test_acc=0.7889 eps=133.09
2-21 loss=0.2537 dev_acc=0.9133 test_acc=0.8800 eps=134.77
2-22 loss=0.2495 dev_acc=0.9333 test_acc=0.9044 eps=134.73
2-23 loss=0.2003 dev_acc=0.9444 test_acc=0.9267 eps=132.07
2-24 loss=0.2141 dev_acc=0.9422 test_acc=0.9089 eps=133.70
2-25 loss=0.1841 dev_acc=0.9422 test_acc=0.9267 eps=136.21
2-26 loss=0.1878 dev_acc=0.9244 test_acc=0.9022 eps=131.99
2-27 loss=0.1715 dev_acc=0.9133 test_acc=0.8689 eps=133.80
2-28 loss=0.1899 dev_acc=0.9467 test_acc=0.9333 eps=133.47
2-29 loss=0.1627 dev_acc=0.9333 test_acc=0.9156 eps=133.05
2-30 loss=0.1534 dev_acc=0.9356 test_acc=0.9222 eps=135.35
2-31 loss=0.1425 dev_acc=0.9511 test_acc=0.9178 eps=135.15
2-32 loss=0.1422 dev_acc=0.9600 test_acc=0.9289 eps=135.21
2-33 loss=0.1493 dev_acc=0.9533 test_acc=0.9400 eps=135.28
2-34 loss=0.1128 dev_acc=0.9600 test_acc=0.9289 eps=133.95
2-35 loss=0.1171 dev_acc=0.9578 test_acc=0.9467 eps=133.53
2-36 loss=0.1317 dev_acc=0.9489 test_acc=0.9133 eps=134.04
2-37 loss=0.1119 dev_acc=0.9556 test_acc=0.9200 eps=131.79
2-38 loss=0.1251 dev_acc=0.9689 test_acc=0.9356 eps=134.89
2-39 loss=0.1082 dev_acc=0.9622 test_acc=0.9333 eps=133.61
